Authors,Title,Link,Affiliations,Authors with affiliations
"Sansen L.M., Saupe L.B., Steidl A., Fegert J.M., Hoffmann U., Neuner F.","Daring to process the trauma: using a web-based training to reduce psychotherapists’ fears and reservations around implementing trauma-focused therapy [敢于处理创伤：使用网络培训来减少心理治疗师对应用创伤聚焦疗法的恐惧和保留] [Atreverse a procesar el trauma: el uso del entrenamiento basada en la web para reducir los temores y reservas de los psicoterapeutas acerca de la implementacion de la terapia centrada en el trauma]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076355849&doi=10.1080%2f20008198.2019.1696590&partnerID=40&md5=7c862e593883169d3d8fc74ac2140c8c","Faculty of Psychology, Clinical Psychology and Psychotherapy, Bielefeld University, Bielefeld, Germany; Department of Child and Adolescent Psychiatry/Psychotherapy, University Hospital Ulm, Ulm, Germany","Sansen, L.M., Faculty of Psychology, Clinical Psychology and Psychotherapy, Bielefeld University, Bielefeld, Germany; Saupe, L.B., Faculty of Psychology, Clinical Psychology and Psychotherapy, Bielefeld University, Bielefeld, Germany; Steidl, A., Faculty of Psychology, Clinical Psychology and Psychotherapy, Bielefeld University, Bielefeld, Germany; Fegert, J.M., Department of Child and Adolescent Psychiatry/Psychotherapy, University Hospital Ulm, Ulm, Germany; Hoffmann, U., Department of Child and Adolescent Psychiatry/Psychotherapy, University Hospital Ulm, Ulm, Germany; Neuner, F., Faculty of Psychology, Clinical Psychology and Psychotherapy, Bielefeld University, Bielefeld, Germany"
"Giacalone G., Mazeliauskas A., Schlichting S.","Hydrodynamic Attractors, Initial State Energy, and Particle Production in Relativistic Nuclear Collisions","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078041533&doi=10.1103%2fPhysRevLett.123.262301&partnerID=40&md5=4e9f07deffa018442d8cc547d818b403","Institut de Physique Théorique, Université Paris Saclay, CNRS, CEA, Gif-sur-Yvette, F-91191, France; Theoretical Physics Department, CERN, Genève 23, CH-1211, Switzerland; Institut für Theoretische Physik, Universität Heidelberg, Philosophenweg 16, Heidelberg, D-69120, Germany; Fakultät für Physik, Universität Bielefeld, Bielefeld, D-33615, Germany","Giacalone, G., Institut de Physique Théorique, Université Paris Saclay, CNRS, CEA, Gif-sur-Yvette, F-91191, France; Mazeliauskas, A., Theoretical Physics Department, CERN, Genève 23, CH-1211, Switzerland, Institut für Theoretische Physik, Universität Heidelberg, Philosophenweg 16, Heidelberg, D-69120, Germany; Schlichting, S., Fakultät für Physik, Universität Bielefeld, Bielefeld, D-33615, Germany"
"Brühl A., Kley H., Grocholewski A., Neuner F., Heinrichs N.","Child maltreatment, peer victimization, and social anxiety in adulthood: A cross-sectional study in a treatment-seeking sample","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077253921&doi=10.1186%2fs12888-019-2400-4&partnerID=40&md5=2c9f77594cce7b3073cdc2334099de64","Department of Psychology, Clinical Psychology and Psychotherapy, University of Bremen, Grazer Strasse 2, Bremen, 28359, Germany; Department of Psychology, Institute of Clinical Psychology, Psychotherapy and Assessment, Outpatient clinic, Technische Universität Braunschweig, Humboldtstr. 33, Braunschweig, 38106, Germany; Department of Psychology, Clinical Psychology and Psychotherapy, Outpatient clinic, Bielefeld University, Morgenbreede 2-4, Bielefeld, 33615, Germany","Brühl, A., Department of Psychology, Clinical Psychology and Psychotherapy, University of Bremen, Grazer Strasse 2, Bremen, 28359, Germany, Department of Psychology, Institute of Clinical Psychology, Psychotherapy and Assessment, Outpatient clinic, Technische Universität Braunschweig, Humboldtstr. 33, Braunschweig, 38106, Germany; Kley, H., Department of Psychology, Clinical Psychology and Psychotherapy, Outpatient clinic, Bielefeld University, Morgenbreede 2-4, Bielefeld, 33615, Germany; Grocholewski, A., Department of Psychology, Institute of Clinical Psychology, Psychotherapy and Assessment, Outpatient clinic, Technische Universität Braunschweig, Humboldtstr. 33, Braunschweig, 38106, Germany; Neuner, F., Department of Psychology, Clinical Psychology and Psychotherapy, Outpatient clinic, Bielefeld University, Morgenbreede 2-4, Bielefeld, 33615, Germany; Heinrichs, N., Department of Psychology, Clinical Psychology and Psychotherapy, University of Bremen, Grazer Strasse 2, Bremen, 28359, Germany, Department of Psychology, Institute of Clinical Psychology, Psychotherapy and Assessment, Outpatient clinic, Technische Universität Braunschweig, Humboldtstr. 33, Braunschweig, 38106, Germany"
"Zolitschka K.A., Razum O., Breckenkamp J., Sauzet O.","Social Mechanisms in Epidemiological Publications on Small-Area Health Inequalities—A Scoping Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077442201&doi=10.3389%2ffpubh.2019.00393&partnerID=40&md5=743591e6a77a0c4913e08ac2eea52c31","Department of Epidemiology and International Public Health, School of Public Health, Bielefeld University, Bielefeld, Germany; Centre for Statistics, Bielefeld University, Bielefeld, Germany","Zolitschka, K.A., Department of Epidemiology and International Public Health, School of Public Health, Bielefeld University, Bielefeld, Germany; Razum, O., Department of Epidemiology and International Public Health, School of Public Health, Bielefeld University, Bielefeld, Germany; Breckenkamp, J., Department of Epidemiology and International Public Health, School of Public Health, Bielefeld University, Bielefeld, Germany; Sauzet, O., Department of Epidemiology and International Public Health, School of Public Health, Bielefeld University, Bielefeld, Germany, Centre for Statistics, Bielefeld University, Bielefeld, Germany"
"Götte M., Dahm T.","Theoretical investigation of the applicability of the Meservey-Tedrow technique to the surface states of topological insulators","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081181602&doi=10.1088%2f1367-2630%2fab5ed0&partnerID=40&md5=98bdcae8c7204e1cb56f34bdd18d2aee","Universität Bielefeld, Fakultät für Physik, Postfach 100131, Bielefeld, D-33501, Germany","Götte, M., Universität Bielefeld, Fakultät für Physik, Postfach 100131, Bielefeld, D-33501, Germany; Dahm, T., Universität Bielefeld, Fakultät für Physik, Postfach 100131, Bielefeld, D-33501, Germany"
"Cohrs C., Bormann K.C., Diebig M., Millhoff C., Pachocki K., Rowold J.","Transformational leadership and communication: Evaluation of a two-day leadership development program","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078040854&doi=10.1108%2fLODJ-02-2019-0097&partnerID=40&md5=f2c3a7cfd1d6d42f9adb5e7b11f59ec5","Center for Continuing Education, TU Dortmund University, Dortmund, Germany; Bielefeld University, Bielefeld, Germany; Heinrich Heine University Düsseldorf, Düsseldorf, Germany","Cohrs, C., Center for Continuing Education, TU Dortmund University, Dortmund, Germany; Bormann, K.C., Bielefeld University, Bielefeld, Germany; Diebig, M., Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Millhoff, C., Center for Continuing Education, TU Dortmund University, Dortmund, Germany; Pachocki, K., Center for Continuing Education, TU Dortmund University, Dortmund, Germany; Rowold, J., Center for Continuing Education, TU Dortmund University, Dortmund, Germany"
"Akemann G., Kieburg M., Mielke A., Prosen T.","Universal Signature from Integrability to Chaos in Dissipative Open Quantum Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077274428&doi=10.1103%2fPhysRevLett.123.254101&partnerID=40&md5=56e63e7cf3792025527b8673e60b4181","Faculty of Physics, Bielefeld University, Postfach 100131, Bielefeld, 33501, Germany; Department of Mathematics, Royal Institute of Technology (KTH), Brinellvägen 8, Stockholm, 114 28, Sweden; School of Mathematics and Statistics, University of Melbourne, 813 Swanston Street, Parkville, Melbourne, VIC  3010, Australia; Physics Department, Faculty of Mathematics and Physics, University of Ljubljana, Ljubljana, 1000, Slovenia","Akemann, G., Faculty of Physics, Bielefeld University, Postfach 100131, Bielefeld, 33501, Germany, Department of Mathematics, Royal Institute of Technology (KTH), Brinellvägen 8, Stockholm, 114 28, Sweden; Kieburg, M., School of Mathematics and Statistics, University of Melbourne, 813 Swanston Street, Parkville, Melbourne, VIC  3010, Australia; Mielke, A., Faculty of Physics, Bielefeld University, Postfach 100131, Bielefeld, 33501, Germany; Prosen, T., Physics Department, Faculty of Mathematics and Physics, University of Ljubljana, Ljubljana, 1000, Slovenia"
"Harig M., Kuck D.","Mass spectrometric fragmentation of di-, tri-, and hexaquinane-fused dimethyl muconates induced by single and double electron ionization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089915975&doi=10.24820%2fARK.5550190.P011.082&partnerID=40&md5=24ae331f1e5e38c8bdeef320a3015170","Department of Chemistry, Bielefeld University, Universitätsstraße 25, Bielefeld, 33615, Germany","Harig, M., Department of Chemistry, Bielefeld University, Universitätsstraße 25, Bielefeld, 33615, Germany; Kuck, D., Department of Chemistry, Bielefeld University, Universitätsstraße 25, Bielefeld, 33615, Germany"
"Heed T.","Tool Use: Two Mechanisms but One Experience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076254411&doi=10.1016%2fj.cub.2019.10.062&partnerID=40&md5=b0b65a79ffd10e7c4f760462775a76b1","Faculty of Psychology and Sports Science and Cluster of Excellence “Cognitive Interaction Technology”, Bielefeld University, Universitätsstr. 25, Bielefeld, 33615, Germany","Heed, T., Faculty of Psychology and Sports Science and Cluster of Excellence “Cognitive Interaction Technology”, Bielefeld University, Universitätsstr. 25, Bielefeld, 33615, Germany"
"Reichel M., Krumm B., Vishnevskiy Y.V., Blomeyer S., Schwabedissen J., Stammler H.-G., Karaghiosoff K., Mitzel N.W.","Solid-State and Gas-Phase Structures and Energetic Properties of the Dangerous Methyl and Fluoromethyl Nitrates","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074912031&doi=10.1002%2fanie.201911300&partnerID=40&md5=e8c9e040b6e3323c6cd7769b8db56b15","Department Chemie, Ludwig-Maximilians Universität München, Butenandtstraße 5–13(D), München, D-81377, Germany; Lehrstuhl für Anorganische Chemie und Strukturchemie, Fakultät für Chemie, Universität Bielefeld, Universitätsstraße 25, Bielefeld, D-33615, Germany","Reichel, M., Department Chemie, Ludwig-Maximilians Universität München, Butenandtstraße 5–13(D), München, D-81377, Germany; Krumm, B., Department Chemie, Ludwig-Maximilians Universität München, Butenandtstraße 5–13(D), München, D-81377, Germany; Vishnevskiy, Y.V., Lehrstuhl für Anorganische Chemie und Strukturchemie, Fakultät für Chemie, Universität Bielefeld, Universitätsstraße 25, Bielefeld, D-33615, Germany; Blomeyer, S., Lehrstuhl für Anorganische Chemie und Strukturchemie, Fakultät für Chemie, Universität Bielefeld, Universitätsstraße 25, Bielefeld, D-33615, Germany; Schwabedissen, J., Lehrstuhl für Anorganische Chemie und Strukturchemie, Fakultät für Chemie, Universität Bielefeld, Universitätsstraße 25, Bielefeld, D-33615, Germany; Stammler, H.-G., Lehrstuhl für Anorganische Chemie und Strukturchemie, Fakultät für Chemie, Universität Bielefeld, Universitätsstraße 25, Bielefeld, D-33615, Germany; Karaghiosoff, K., Department Chemie, Ludwig-Maximilians Universität München, Butenandtstraße 5–13(D), München, D-81377, Germany; Mitzel, N.W., Lehrstuhl für Anorganische Chemie und Strukturchemie, Fakultät für Chemie, Universität Bielefeld, Universitätsstraße 25, Bielefeld, D-33615, Germany"
