Authors,Title,Link,Affiliations,Authors with affiliations
"Schneider S., Kummert F.","Exercising with a humanoid companion is more effective than exercising alone","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010223932&doi=10.1109%2fHUMANOIDS.2016.7803321&partnerID=40&md5=e29a9e1ea52fdc686617993d091973e3","Applied Informatics, Faculty of Technology, CITEC, Bielefeld University, Bielefeld, 33615, Germany","Schneider, S., Applied Informatics, Faculty of Technology, CITEC, Bielefeld University, Bielefeld, 33615, Germany; Kummert, F., Applied Informatics, Faculty of Technology, CITEC, Bielefeld University, Bielefeld, 33615, Germany"
"Li Q., Haschke R., Ritter H.","Learning a tool's homogeneous transformation by tactile-based interaction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010223446&doi=10.1109%2fHUMANOIDS.2016.7803309&partnerID=40&md5=909f5a0dafaa9def70ffd98f74399c91","Neuroinformatics Group, CITEC, Bielefeld University, Germany","Li, Q., Neuroinformatics Group, CITEC, Bielefeld University, Germany; Haschke, R., Neuroinformatics Group, CITEC, Bielefeld University, Germany; Ritter, H., Neuroinformatics Group, CITEC, Bielefeld University, Germany"
"Queißer J.F., Reinhart R.F., Steil J.J.","Incremental bootstrapping of parameterized motor skills","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010191051&doi=10.1109%2fHUMANOIDS.2016.7803281&partnerID=40&md5=06ffb1c200dbab6d93ad0887baeffa04","Research Institute for Cognition and Robotics (CoR-Lab), Bielefeld University, Universitätsstr. 25, Bielefeld, 33615, Germany; Fraunhofer IEM Research Institution for Mechatronic Systems Design, Zukunftsmeile 1, Paderborn, 33102, Germany; Institute for Robotics and Process Control, Technical University Braunschweig, Mühlenpfordtstr. 23, Braunschweig, 38106, Germany","Queißer, J.F., Research Institute for Cognition and Robotics (CoR-Lab), Bielefeld University, Universitätsstr. 25, Bielefeld, 33615, Germany; Reinhart, R.F., Fraunhofer IEM Research Institution for Mechatronic Systems Design, Zukunftsmeile 1, Paderborn, 33102, Germany; Steil, J.J., Research Institute for Cognition and Robotics (CoR-Lab), Bielefeld University, Universitätsstr. 25, Bielefeld, 33615, Germany, Institute for Robotics and Process Control, Technical University Braunschweig, Mühlenpfordtstr. 23, Braunschweig, 38106, Germany"
"Spallek J., Reeske A., Zeeb H., Razum O.","Models of migration and health","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065703014&partnerID=40&md5=bfc974f6864ad74ddc2118e032976929","Department of Public Health, Brandenburg University of Technology Cottbus-Senftenberg, Germany; Federal Institute for Occupational Safety and Health (BAuA), Germany; University of Bremen, Germany; School of Public Health, Bielefeld University, Germany","Spallek, J., Department of Public Health, Brandenburg University of Technology Cottbus-Senftenberg, Germany; Reeske, A., Federal Institute for Occupational Safety and Health (BAuA), Germany; Zeeb, H., University of Bremen, Germany; Razum, O., School of Public Health, Bielefeld University, Germany"
"Orlov Y.L., Baranova A.V., Hofestädt R., Kolchanov N.A.","Computational genomics at BGRS\SB-2016: Introductory note","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007421345&doi=10.1186%2fs12864-016-3350-6&partnerID=40&md5=011937978d9197c252a3f235f0b4de90","Institute of Cytology and Genetics SB RAS, Lavrentyeva, 10, Novosibirsk, 630090, Russian Federation; Novosibirsk State University, Pirogova, 2, Novosibirsk, 630090, Russian Federation; School of Systems Biology, George Mason University, Fairfax, VA  22030, United States; Research Centre for Medical Genetics, Moskvorechie, 1, Moscow, Russian Federation; Bielefeld University, Bielefeld, D-33501, Germany","Orlov, Y.L., Institute of Cytology and Genetics SB RAS, Lavrentyeva, 10, Novosibirsk, 630090, Russian Federation, Novosibirsk State University, Pirogova, 2, Novosibirsk, 630090, Russian Federation; Baranova, A.V., School of Systems Biology, George Mason University, Fairfax, VA  22030, United States, Research Centre for Medical Genetics, Moskvorechie, 1, Moscow, Russian Federation; Hofestädt, R., Bielefeld University, Bielefeld, D-33501, Germany; Kolchanov, N.A., Institute of Cytology and Genetics SB RAS, Lavrentyeva, 10, Novosibirsk, 630090, Russian Federation"
"Schwarze N., Steinhauer S., Neumann B., Stammler H.-G., Hoge B.","Nucleophilic Transfer Reactions of the [Si(C2F5)3]−Moiety","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028275124&doi=10.1002%2fanie.201609575&partnerID=40&md5=8c7c56b5376923e61454be6b05e201d8","Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany","Schwarze, N., Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany; Steinhauer, S., Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany; Neumann, B., Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany; Stammler, H.-G., Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany; Hoge, B., Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany"
"Schwarze N., Steinhauer S., Neumann B., Stammler H.-G., Hoge B.","The Tris(pentafluoroethyl)silanide Anion","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028235986&doi=10.1002%2fanie.201609096&partnerID=40&md5=6bd3feb0ce84d58528b5be5b6856f38d","Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany","Schwarze, N., Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany; Steinhauer, S., Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany; Neumann, B., Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany; Stammler, H.-G., Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany; Hoge, B., Universität Bielefeld, Fakultät für Chemie, Centrum für Molekulare Materialien, Universitätsstrasse 25, Bielefeld, 33615, Germany"
"Danisman S.","TCP transcription factors at the interface between environmental challenges and the plant’s growth responses","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007371944&doi=10.3389%2ffpls.2016.01930&partnerID=40&md5=6bda7f1db21bf5681504156c2d8a8635","Molecular Cell Physiology, Faculty of Biology, Bielefeld University, Bielefeld, Germany","Danisman, S., Molecular Cell Physiology, Faculty of Biology, Bielefeld University, Bielefeld, Germany"
"Lux M., Krüger J., Rinke C., Maus I., Schlüter A., Woyke T., Sczyrba A., Hammer B.","acdc - Automated Contamination Detection and Confidence estimation for single-cell genome data","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006814675&doi=10.1186%2fs12859-016-1397-7&partnerID=40&md5=79c17c599520f704159013e1d48743a1","Bielefeld University, Computational Methods for the Analysis of the Diversity and Dynamics of Genomes, Universitätsstr. 25, Bielefeld, 33615, Germany; Bielefeld University, Center for Biotechnology - CeBiTec, Universitätsstr. 27, Bielefeld, 33615, Germany; 2800 Mitchell Drive, Walnut Creek, CA  94598, United States; Bielefeld University, CITEC centre of excellence, Inspiration 1, Bielefeld, 33619, Germany; University of Queensland, Australian Centre for Ecogenomics, ST LUCIA, Brisbane, QLD  4072, Australia","Lux, M., Bielefeld University, Computational Methods for the Analysis of the Diversity and Dynamics of Genomes, Universitätsstr. 25, Bielefeld, 33615, Germany; Krüger, J., Bielefeld University, Center for Biotechnology - CeBiTec, Universitätsstr. 27, Bielefeld, 33615, Germany; Rinke, C., University of Queensland, Australian Centre for Ecogenomics, ST LUCIA, Brisbane, QLD  4072, Australia; Maus, I., Bielefeld University, Center for Biotechnology - CeBiTec, Universitätsstr. 27, Bielefeld, 33615, Germany; Schlüter, A., Bielefeld University, Center for Biotechnology - CeBiTec, Universitätsstr. 27, Bielefeld, 33615, Germany; Woyke, T., 2800 Mitchell Drive, Walnut Creek, CA  94598, United States; Sczyrba, A., Bielefeld University, Center for Biotechnology - CeBiTec, Universitätsstr. 27, Bielefeld, 33615, Germany; Hammer, B., Bielefeld University, CITEC centre of excellence, Inspiration 1, Bielefeld, 33619, Germany"
"Schaffert L., Albersmeier A., Winkler A., Kalinowski J., Zotchev S.B., Rückert C.","Complete genome sequence of the actinomycete actinoalloteichus hymeniacidonis type strain hpa 177t isolated from a marine sponge","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006725121&doi=10.1186%2fs40793-016-0213-3&partnerID=40&md5=54ac5e5933f1a1eba791f7f3b01ce8b7","Bielefeld University, Technology Platform Genomics, CeBiTec, Bielefeld, Germany; University of Vienna, Department of Pharmacognosy, Vienna, 1090, Austria; Massachusetts Institute of Technology, Sinkey Lab, Department of Biology, Cambridge, United States","Schaffert, L., Bielefeld University, Technology Platform Genomics, CeBiTec, Bielefeld, Germany; Albersmeier, A., Bielefeld University, Technology Platform Genomics, CeBiTec, Bielefeld, Germany; Winkler, A., Bielefeld University, Technology Platform Genomics, CeBiTec, Bielefeld, Germany; Kalinowski, J., Bielefeld University, Technology Platform Genomics, CeBiTec, Bielefeld, Germany; Zotchev, S.B., University of Vienna, Department of Pharmacognosy, Vienna, 1090, Austria; Rückert, C., Bielefeld University, Technology Platform Genomics, CeBiTec, Bielefeld, Germany, Massachusetts Institute of Technology, Sinkey Lab, Department of Biology, Cambridge, United States"
