Authors,Title,Link,Affiliations,Authors with affiliations
"Carrier M., Gölzhäuser A., Kohse-Höinghaus K.","Understanding phenomena by building models: Methodological studies on physical chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075199031&doi=10.1007%2f978-3-319-69974-5_3&partnerID=40&md5=4be00916ab1c8e9a84d307e322d5a51e","Departments of Philosophy, Physics, and Chemistry, Bielefeld University, P.O.B. 100131, Bielefeld, 33501, Germany","Carrier, M., Departments of Philosophy, Physics, and Chemistry, Bielefeld University, P.O.B. 100131, Bielefeld, 33501, Germany; Gölzhäuser, A., Departments of Philosophy, Physics, and Chemistry, Bielefeld University, P.O.B. 100131, Bielefeld, 33501, Germany; Kohse-Höinghaus, K., Departments of Philosophy, Physics, and Chemistry, Bielefeld University, P.O.B. 100131, Bielefeld, 33501, Germany"
"Ley T.","Full participation matters? A subject orientated approach to participation from a capability perspective","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075327263&partnerID=40&md5=757d1d2716e39c5e2778bc427a16f736","Bielefeld Center for Education and Capability Research, Faculty of Educational Science, Bielefeld University, Germany","Ley, T., Bielefeld Center for Education and Capability Research, Faculty of Educational Science, Bielefeld University, Germany"
"Bonvin J.-M., Beuret B., Dahmen S.","Analysing inequality and disadvantage from a capability perspective","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075326344&partnerID=40&md5=def4bf458e5988eefdea5aa62c7b70a7","Institut de Démographie et Socioéconomie, Faculté des Sciences de la Société, Université de Genève, Switzerland; École d'études sociales et pédagogiques, Haute Ecole de Suisse occidentale, Lausanne, Switzerland; Faculty for Educational Sciences, AG8 Social Work, Bielefeld University, Germany","Bonvin, J.-M., Institut de Démographie et Socioéconomie, Faculté des Sciences de la Société, Université de Genève, Switzerland; Beuret, B., École d'études sociales et pédagogiques, Haute Ecole de Suisse occidentale, Lausanne, Switzerland; Dahmen, S., Faculty for Educational Sciences, AG8 Social Work, Bielefeld University, Germany"
"Dahmen S., Bonvin J.-M., Beuret B.","The dynamics of youth policies in Switzerland: Between participation and activation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075327976&partnerID=40&md5=0521670befba9cdfa3d55ea32ff577b4","Faculty for Educational Sciences, AG8 Social Work, Bielefeld University, Germany; Institut de Démographie et Socioéconomie, Faculté des Sciences de la Société, Université de Genève, Switzerland; École d'études sociales et pédagogiques, Haute Ecole de Suisse occidentale, Lausanne, Switzerland","Dahmen, S., Faculty for Educational Sciences, AG8 Social Work, Bielefeld University, Germany; Bonvin, J.-M., Institut de Démographie et Socioéconomie, Faculté des Sciences de la Société, Université de Genève, Switzerland; Beuret, B., École d'études sociales et pédagogiques, Haute Ecole de Suisse occidentale, Lausanne, Switzerland"
"Otto H.-U., Egdell V., Bonvin J.-M., Atzmüller R.","Empowering young people in disempowering times: Fighting inequality through capability oriented policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075327829&doi=10.4337%2f9781788110860&partnerID=40&md5=27180976223a30da44c3cb1b08d9cb02","Bielefeld Center for Education and Capability Research, Faculty of Educational Science, Bielefeld University, Germany; The Business School, Edinburgh Napier University, United Kingdom; Institut de Démographie et Socioéconomie, Faculté des Sciences de la Société, Université de Genève, Switzerland; Institute for Sociology, Department for social theory and social analysis, Johannes Kepler University Linz, Austria","Otto, H.-U., Bielefeld Center for Education and Capability Research, Faculty of Educational Science, Bielefeld University, Germany; Egdell, V., The Business School, Edinburgh Napier University, United Kingdom; Bonvin, J.-M., Institut de Démographie et Socioéconomie, Faculté des Sciences de la Société, Université de Genève, Switzerland; Atzmüller, R., Institute for Sociology, Department for social theory and social analysis, Johannes Kepler University Linz, Austria"
"Otto H.-U., Egdell V., Bonvin J.-M., Atzmüller R.","Introduction: Empowering young people in disempowering times? Creating collaborative and transformative capabilities through participation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057159593&partnerID=40&md5=d322b5bb257b7bdc846c6c80d43f956a","Bielefeld Center for Education and Capability Research, Faculty of Educational Science, Bielefeld University, Germany; The Business School, Edinburgh Napier University, United Kingdom; Institut de Démographie et Socioéconomie, Faculté des Sciences de la Société, Université de Genève, Switzerland; Institute for Sociology, Department for social theory and social analysis, Johannes Kepler University Linz, Austria","Otto, H.-U., Bielefeld Center for Education and Capability Research, Faculty of Educational Science, Bielefeld University, Germany; Egdell, V., The Business School, Edinburgh Napier University, United Kingdom; Bonvin, J.-M., Institut de Démographie et Socioéconomie, Faculté des Sciences de la Société, Université de Genève, Switzerland; Atzmüller, R., Institute for Sociology, Department for social theory and social analysis, Johannes Kepler University Linz, Austria"
"Acconcia G., Atzmüller R., Baillergeau E., Belda-Miquel S., Berthet T., Beuret B., Boni Aristizábal A., Bonvin J.-M., Chiappero-Martinetti E., Dahmen S., Duyvendak J.W., Egdell V., Frørup A.K., Goffette C., Graham H., Graziano P.R., Haidinger B., Jensen N.R., Kjeldsen C.C., Knecht A., Ley T., López-Fogués A., Otto H.-U., Peruzzi A., Raeside R., Roets G., Roose R., Simon V., Spreafico A.M.C., van Keer H., Vandekinderen C., Vero J.","Improving the quality of life of disadvantaged young people in Europe","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075327328&partnerID=40&md5=b19c611c02c6fe4b18e81c85e37e1bed","Department of Institutional Analysis and Public Management, Università Bocconi, Italy; Institute for Sociology, Department for social theory and social analysis, Johannes Kepler University Linz, Austria; Amsterdam Institute for Social Science Research, University of Amsterdam, Netherlands; Universitat Politècnica de València, INGENIO (CSIC-Universitat Politècnica de València), Spain; CNRS (National Scientific Research Center), Centre Emile Durkheim, Sciences Po Bordeaux, France; École d'études sociales et pédagogiques, Haute Ecole de Suisse occidentale, Lausanne, Switzerland; Universitat Politécnica de València, Spain; Institut de Démographie et Socioéconomie, Faculté des Sciences de la Société, Université de Genève, Switzerland; University of Pavia, Italy; Faculty for Educational Sciences, AG8 Social Work, Bielefeld University, Germany; University of Amsterdam, Netherlands; The Business School, Edinburgh Napier University, United Kingdom; Danish School of Education, University of Aarhus, Denmark; CREST, ENSAE, Université Paris-Saclay, France; Employment Research Institute, Edinburgh Napier University, United Kingdom; Department of Political Science, Law and International Studies, University of Padua, Italy; Working Life Research Center Vienna, FORBA, Austria; Danish School of Education, Aarhus University, Denmark; Department of Educational Sociology, Danish School of Education (DPU), Aarhus University, Denmark; Bielefeld Center for Education and Capability Research, Faculty of Educational Science, Bielefeld University, Germany; Universitat Politècnica de València on the area of ethics and human development, Spain; Ministry of Economy and Finances-the State General Accounting Department (RGS), Arezzo, Italy; Department of Social Work and Social Pedagogy, Faculty of Psychology and Educational Sciences, Ghent University, Belgium; CEREQ (Centre d'études et de recherches sur les qualifications), Centre Emile Durkheim, Sciences Po Bordeaux, France; Scuola Universitaria Superiore IUSS Pavia, University of Pavia, Italy; Department of Educational Studies, Faculty of Psychology and Educational Sciences, Ghent University, Belgium; Céreq (French Centre for Research on Education, Training and Employment), France","Acconcia, G., Department of Institutional Analysis and Public Management, Università Bocconi, Italy; Atzmüller, R., Institute for Sociology, Department for social theory and social analysis, Johannes Kepler University Linz, Austria; Baillergeau, E., Amsterdam Institute for Social Science Research, University of Amsterdam, Netherlands; Belda-Miquel, S., Universitat Politècnica de València, INGENIO (CSIC-Universitat Politècnica de València), Spain; Berthet, T., CNRS (National Scientific Research Center), Centre Emile Durkheim, Sciences Po Bordeaux, France; Beuret, B., École d'études sociales et pédagogiques, Haute Ecole de Suisse occidentale, Lausanne, Switzerland; Boni Aristizábal, A., Universitat Politécnica de València, Spain; Bonvin, J.-M., Institut de Démographie et Socioéconomie, Faculté des Sciences de la Société, Université de Genève, Switzerland; Chiappero-Martinetti, E., University of Pavia, Italy; Dahmen, S., Faculty for Educational Sciences, AG8 Social Work, Bielefeld University, Germany; Duyvendak, J.W., University of Amsterdam, Netherlands; Egdell, V., The Business School, Edinburgh Napier University, United Kingdom; Frørup, A.K., Danish School of Education, University of Aarhus, Denmark; Goffette, C., CREST, ENSAE, Université Paris-Saclay, France; Graham, H., Employment Research Institute, Edinburgh Napier University, United Kingdom; Graziano, P.R., Department of Political Science, Law and International Studies, University of Padua, Italy; Haidinger, B., Working Life Research Center Vienna, FORBA, Austria; Jensen, N.R., Danish School of Education, Aarhus University, Denmark; Kjeldsen, C.C., Department of Educational Sociology, Danish School of Education (DPU), Aarhus University, Denmark; Knecht, A., Institute for Sociology, Department for social theory and social analysis, Johannes Kepler University Linz, Austria; Ley, T., Bielefeld Center for Education and Capability Research, Faculty of Educational Science, Bielefeld University, Germany; López-Fogués, A., Universitat Politècnica de València on the area of ethics and human development, Spain; Otto, H.-U., Bielefeld Center for Education and Capability Research, Faculty of Educational Science, Bielefeld University, Germany; Peruzzi, A., Ministry of Economy and Finances-the State General Accounting Department (RGS), Arezzo, Italy; Raeside, R., Employment Research Institute, Edinburgh Napier University, United Kingdom; Roets, G., Department of Social Work and Social Pedagogy, Faculty of Psychology and Educational Sciences, Ghent University, Belgium; Roose, R., Department of Social Work and Social Pedagogy, Faculty of Psychology and Educational Sciences, Ghent University, Belgium; Simon, V., CEREQ (Centre d'études et de recherches sur les qualifications), Centre Emile Durkheim, Sciences Po Bordeaux, France; Spreafico, A.M.C., Scuola Universitaria Superiore IUSS Pavia, University of Pavia, Italy; van Keer, H., Department of Educational Studies, Faculty of Psychology and Educational Sciences, Ghent University, Belgium; Vandekinderen, C., Department of Social Work and Social Pedagogy, Faculty of Psychology and Educational Sciences, Ghent University, Belgium; Vero, J., Céreq (French Centre for Research on Education, Training and Employment), France"
"Ellerbrock R., Manthe U.","Communication: Reactivity borrowing in the mode selective chemistry of H + CHD3 → H2 + CD3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040079899&doi=10.1063%2f1.5018254&partnerID=40&md5=19e48481527165be452aedf45e291dbf","Theoretische Chemie, Fakultät für Chemie, Universität Bielefeld, Universitätsstr. 25, Bielefeld, D-33615, Germany","Ellerbrock, R., Theoretische Chemie, Fakultät für Chemie, Universität Bielefeld, Universitätsstr. 25, Bielefeld, D-33615, Germany; Manthe, U., Theoretische Chemie, Fakultät für Chemie, Universität Bielefeld, Universitätsstr. 25, Bielefeld, D-33615, Germany"
"Huebner T., Martens U., Walowski J., Boehnke A., Krieft J., Heiliger C., Thomas A., Reiss G., Kuschel T., Münzenberg M.","Enhancement of thermovoltage and tunnel magneto-Seebeck effect in CoFeB-based magnetic tunnel junctions by variation of the MgAl 2 O 4 and MgO barrier thickness","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039456518&doi=10.1103%2fPhysRevB.96.214435&partnerID=40&md5=13414f959a6b218aceeb58b3a1c350e4","Center for Spinelectronic Materials and Devices, Department of Physics, Bielefeld University, Universitätsstraße 25, Bielefeld, 33615, Germany; Institut für Physik, Greifswald University, Felix-Hausdorff-Strasse 6, Greifswald, 17489, Germany; Institut für Theoretische Physik, Justus Liebig University Giessen, Heinrich-Buff-Ring 16, Giessen, 35392, Germany; Leibniz Institute for Solid State and Materials Research Dresden (IFW Dresden), Institute for Metallic Materials, Helmholtzstrasse 20, Dresden, 01069, Germany; Physics of Nanodevices, Zernike Institute for Advanced Materials, University of Groningen, Nijenborgh 4, Groningen, 9747 AG, Netherlands","Huebner, T., Center for Spinelectronic Materials and Devices, Department of Physics, Bielefeld University, Universitätsstraße 25, Bielefeld, 33615, Germany; Martens, U., Institut für Physik, Greifswald University, Felix-Hausdorff-Strasse 6, Greifswald, 17489, Germany; Walowski, J., Institut für Physik, Greifswald University, Felix-Hausdorff-Strasse 6, Greifswald, 17489, Germany; Boehnke, A., Center for Spinelectronic Materials and Devices, Department of Physics, Bielefeld University, Universitätsstraße 25, Bielefeld, 33615, Germany; Krieft, J., Center for Spinelectronic Materials and Devices, Department of Physics, Bielefeld University, Universitätsstraße 25, Bielefeld, 33615, Germany; Heiliger, C., Institut für Theoretische Physik, Justus Liebig University Giessen, Heinrich-Buff-Ring 16, Giessen, 35392, Germany; Thomas, A., Leibniz Institute for Solid State and Materials Research Dresden (IFW Dresden), Institute for Metallic Materials, Helmholtzstrasse 20, Dresden, 01069, Germany; Reiss, G., Center for Spinelectronic Materials and Devices, Department of Physics, Bielefeld University, Universitätsstraße 25, Bielefeld, 33615, Germany; Kuschel, T., Center for Spinelectronic Materials and Devices, Department of Physics, Bielefeld University, Universitätsstraße 25, Bielefeld, 33615, Germany, Physics of Nanodevices, Zernike Institute for Advanced Materials, University of Groningen, Nijenborgh 4, Groningen, 9747 AG, Netherlands; Münzenberg, M., Institut für Physik, Greifswald University, Felix-Hausdorff-Strasse 6, Greifswald, 17489, Germany"
"Von Tschirnhaus M.","The taxonomy of species globally described in or formerly included in the genus Elachiptera and new combinations with Lasiochaeta and Gampsocera (Diptera: Chloropidae)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040729998&doi=10.31610%2fzsr%2f2017.26.2.337&partnerID=40&md5=917ad34986891e0906e74694c4f2a184","Biological Collection, Faculty of Biology, University of Bielefeld, P.O. Box 100131, Bielefeld, 33501, Germany","Von Tschirnhaus, M., Biological Collection, Faculty of Biology, University of Bielefeld, P.O. Box 100131, Bielefeld, 33501, Germany"
