Authors,Title,Link,Affiliations,Authors with affiliations
"Koch J.B., Lozier J., Strange J.P., Ikerd H., Griswold T., Cordes N., Solter L., Stewart I., Cameron S.A.","USBombus, a database of contemporary survey data for North American Bumble Bees (Hymenoptera, Apidae, Bombus) distributed in the United States","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018560307&doi=10.3897%2fBDJ.3.e6833&partnerID=40&md5=dfdf3655a67e4fd9358cb399e59a0c9c","Utah State University, Logan, United States; USDA-ARS, Logan, United States; University of Alabama, Tuscaloosa, United States; University of Bielefeld, Bielefeld, Germany; University of Illinois, Illinois Natural History Survey Prairie Research Institute, Urbana, United States; Black Hawk College, Galva, United States; University of Illinois, Urbana, United States","Koch, J.B., Utah State University, Logan, United States, USDA-ARS, Logan, United States; Lozier, J., University of Alabama, Tuscaloosa, United States; Strange, J.P., USDA-ARS, Logan, United States; Ikerd, H., USDA-ARS, Logan, United States; Griswold, T., USDA-ARS, Logan, United States; Cordes, N., University of Bielefeld, Bielefeld, Germany; Solter, L., University of Illinois, Illinois Natural History Survey Prairie Research Institute, Urbana, United States; Stewart, I., Black Hawk College, Galva, United States; Cameron, S.A., University of Illinois, Urbana, United States"
"Balluff J., Meinert M., Schmalhorst J.-M., Reiss G., Arenholz E.","Exchange bias in epitaxial and polycrystalline thin film Ru2MnGe/Fe bilayers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954142852&doi=10.1063%2f1.4939092&partnerID=40&md5=b984f92addcb88224b1992a775b85d60","Center for Spinelectronic Materials and Devices, Bielefeld University, Bielefeld, D-33501, Germany; Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States","Balluff, J., Center for Spinelectronic Materials and Devices, Bielefeld University, Bielefeld, D-33501, Germany; Meinert, M., Center for Spinelectronic Materials and Devices, Bielefeld University, Bielefeld, D-33501, Germany; Schmalhorst, J.-M., Center for Spinelectronic Materials and Devices, Bielefeld University, Bielefeld, D-33501, Germany; Reiss, G., Center for Spinelectronic Materials and Devices, Bielefeld University, Bielefeld, D-33501, Germany; Arenholz, E., Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States"
"Khan Y., Mehdi M., Jha A., Raza S., Freitas A., Jones M., Sahay R.","Extending inner-ear anatomical concepts in the Foundational Model of Anatomy (FMA) ontology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962875890&doi=10.1109%2fBIBE.2015.7367728&partnerID=40&md5=ac2aa44908f6afcba9367449c2231955","Insight Centre for Data Analytics, NUI Galway, Ireland; University of Passau, Germany; University of Bielefeld, Germany","Khan, Y., Insight Centre for Data Analytics, NUI Galway, Ireland; Mehdi, M., Insight Centre for Data Analytics, NUI Galway, Ireland; Jha, A., Insight Centre for Data Analytics, NUI Galway, Ireland; Raza, S., University of Passau, Germany; Freitas, A., University of Bielefeld, Germany; Jones, M., Insight Centre for Data Analytics, NUI Galway, Ireland; Sahay, R., Insight Centre for Data Analytics, NUI Galway, Ireland"
"Niesen A., Glas M., Ludwig J., Schmalhorst J.-M., Sahoo R., Ebke D., Arenholz E., Reiss G.","Titanium nitride as a seed layer for Heusler compounds","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953276612&doi=10.1063%2f1.4938388&partnerID=40&md5=9169150d11d5d5d29821474310f82f09","Center for Spinelectronic Materials and Devices, Bielefeld University, Germany; Max Planck Institute for Chemical Physics of Solids, Dresden, Germany; Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States","Niesen, A., Center for Spinelectronic Materials and Devices, Bielefeld University, Germany; Glas, M., Center for Spinelectronic Materials and Devices, Bielefeld University, Germany; Ludwig, J., Center for Spinelectronic Materials and Devices, Bielefeld University, Germany; Schmalhorst, J.-M., Center for Spinelectronic Materials and Devices, Bielefeld University, Germany; Sahoo, R., Max Planck Institute for Chemical Physics of Solids, Dresden, Germany; Ebke, D., Max Planck Institute for Chemical Physics of Solids, Dresden, Germany; Arenholz, E., Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Reiss, G., Center for Spinelectronic Materials and Devices, Bielefeld University, Germany"
"Cheng C.","A character theory for projective representations of finite groups","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84915733465&doi=10.1016%2fj.laa.2014.11.027&partnerID=40&md5=01bfd869ecce2a1e4f7b4cd7b6c73843","Department of Mathematics, Bielefeld University, Bielefeld, D-33501, Germany","Cheng, C., Department of Mathematics, Bielefeld University, Bielefeld, D-33501, Germany"
"Donner J., Broschinski J.-P., Glaser T., Wegner D.","Deposition and Self-Assembly of Large Magnetic Molecules","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952927329&doi=10.1021%2facs.jpcc.5b10128&partnerID=40&md5=93677a4c10af12f1c35e1f8b34360b15","Institute for Molecules and Materials, Radboud University, Heyendaalseweg 135, Nijmegen, 6525 AJ, Netherlands; Physikalisches Institut and Center for Nanotechnology, Westfälische Wilhelms-Universität Münster, Münster, 48149, Germany; Lehrstuhl für Anorganische Chemie i, Fakultät für Chemie, Universität Bielefeld, Bielefeld, 33615, Germany","Donner, J., Institute for Molecules and Materials, Radboud University, Heyendaalseweg 135, Nijmegen, 6525 AJ, Netherlands, Physikalisches Institut and Center for Nanotechnology, Westfälische Wilhelms-Universität Münster, Münster, 48149, Germany; Broschinski, J.-P., Lehrstuhl für Anorganische Chemie i, Fakultät für Chemie, Universität Bielefeld, Bielefeld, 33615, Germany; Glaser, T., Lehrstuhl für Anorganische Chemie i, Fakultät für Chemie, Universität Bielefeld, Bielefeld, 33615, Germany; Wegner, D., Institute for Molecules and Materials, Radboud University, Heyendaalseweg 135, Nijmegen, 6525 AJ, Netherlands, Physikalisches Institut and Center for Nanotechnology, Westfälische Wilhelms-Universität Münster, Münster, 48149, Germany"
"Schiller B., Strufe T., Kohlweyer D., Seedorf J.","Growing a Web of Trust","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973897008&doi=10.1109%2fLCN.2015.7366288&partnerID=40&md5=3efa04b7f478624145239378748c4baf","Privacy and Data Security, TU Dresden, Germany; Computational Economics, Bielefeld University, Germany; NEC Laboratories Europe, Heidelberg, Germany","Schiller, B., Privacy and Data Security, TU Dresden, Germany; Strufe, T., Privacy and Data Security, TU Dresden, Germany; Kohlweyer, D., Computational Economics, Bielefeld University, Germany; Seedorf, J., NEC Laboratories Europe, Heidelberg, Germany"
"Li Q., Haschke R., Ritter H.","A visuo-tactile control framework for manipulation and exploration of unknown objects","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962218994&doi=10.1109%2fHUMANOIDS.2015.7363434&partnerID=40&md5=e107930fac1cd43f7fc2c38d0c9563ec","CITEC, Bielefeld University, Germany","Li, Q., CITEC, Bielefeld University, Germany; Haschke, R., CITEC, Bielefeld University, Germany; Ritter, H., CITEC, Bielefeld University, Germany"
"Caluwaerts K., Steil J.J.","Independent joint learning in practice: Local error estimates to improve inverse dynamics control","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962299195&doi=10.1109%2fHUMANOIDS.2015.7363439&partnerID=40&md5=083b671e2d03e90f0ebcfeebe48dd5af","NASA Ames Intelligent Robotics Group/Oak Ridge Assoc. Universities (ORAU), Moffett Field, CA  94035, United States; CITEC (Center of Excellence Cognitive Interaction Technology), Bielefeld University, Bielefeld, 33615, Germany; Research Institute for Cognition and Robotics (CoR-Lab), Faculty of Technology, Bielefeld University, Bielefeld, 33615, Germany","Caluwaerts, K., NASA Ames Intelligent Robotics Group/Oak Ridge Assoc. Universities (ORAU), Moffett Field, CA  94035, United States, CITEC (Center of Excellence Cognitive Interaction Technology), Bielefeld University, Bielefeld, 33615, Germany; Steil, J.J., Research Institute for Cognition and Robotics (CoR-Lab), Faculty of Technology, Bielefeld University, Bielefeld, 33615, Germany"
"Li Q., Haschke R., Ritter H.","Towards body schema learning using training data acquired by continuous self-touch","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962214728&doi=10.1109%2fHUMANOIDS.2015.7363491&partnerID=40&md5=13f7c1eb657a55f2b78573bbc9aac6aa","Neuroinformatics Group, CITEC, Bielefeld University, Germany","Li, Q., Neuroinformatics Group, CITEC, Bielefeld University, Germany; Haschke, R., Neuroinformatics Group, CITEC, Bielefeld University, Germany; Ritter, H., Neuroinformatics Group, CITEC, Bielefeld University, Germany"
